Module,Video Title,Navigation Flow,Priority,Description
CRM - Workflows,How to add a Condition node,Workflow > [Workflow] > Add Node > Condition,Must-have,Branch a workflow on lead attributes.
CRM - Workflows,How to add an Action node,Workflow > [Workflow] > Add Node > Action,Should-have,Run a custom business action.
CRM - Workflows,How to schedule a workflow,Workflow > [Workflow] > Schedule,Should-have,Run a workflow on a cron-style schedule.
CRM - Workflows,How to monitor workflow executions,Workflow > [Workflow] > Executions,Should-have,See real-time runs / failures / retries.
CRM - Workflows,How to use a workflow template,Workflow > Templates,Must-have,Start from a pre-built nurture / reminder flow.
CRM - Workflows,How to test a workflow before publishing,Workflow > [Workflow] > Test Run,Should-have,Dry-run a workflow on a sample lead.
CRM - Workflows,How to pause or stop a workflow,Workflow > [Workflow] > Pause,Should-have,Halt a workflow without deleting it.
CRM - Campaigns & Reports,How to view campaign performance,Audience Manager > Campaigns > [Campaign],Must-have,See conversion / counts / source ROI per campaign.
CRM - Campaigns & Reports,How to view source-wise lead reports,Audience Manager > Reports > Sources,Should-have,Compare lead quality across sources.
CRM - Campaigns & Reports,How to view counsellor performance,Settings > Leads > Pools > Performance,Must-have,Calls made / leads converted per counsellor.
CRM - Campaigns & Reports,How to view conversion funnel,Audience Manager > Reports > Funnel,Should-have,Where leads drop off in your pipeline.
CRM - Campaigns & Reports,How to export campaign reports,Audience Manager > Reports > Export,Nice-to-have,Download for offline analysis.
Admissions,How to view all enquiries,Admissions > Enquiries,Must-have,See top-of-funnel enquiry submissions.
Admissions,How to convert an enquiry to an application,Admissions > [Enquiry] > Convert,Must-have,Move an enquiry into the application pipeline.
Admissions,How to create an admission form,Admissions > Forms > Create,Must-have,Build the application form for a program.
Admissions,How to view application status,Admissions > [Application] > Status,Must-have,Drill into each applicant's stage.
Admissions,How to manage applicant communication,Admissions > [Application] > Communication,Must-have,Email / WhatsApp / SMS an applicant.
Admissions,How to bulk import applicants,Admissions > Bulk Import,Should-have,Upload many applicants from CSV.
Admissions,How to assign an applicant to a counsellor,Admissions > [Application] > Assign,Must-have,Take ownership of an applicant.
Admissions,How to track applicant documents,Admissions > [Application] > Documents,Should-have,See which documents are submitted / pending.
Admissions,How to set application stages,Settings > Admissions > Stages,Should-have,Configure the stages an applicant moves through.
Manage Learners,How to enroll a learner manually,Manage Learners > Enroll Manually,Must-have,Add a single learner and assign them to a course.
Manage Learners,How to bulk enroll learners from CSV,Manage Learners > Bulk Enroll,Must-have,Upload a spreadsheet to enroll many learners at once.
Manage Learners,How to send a learner invite link,Manage Learners > Invite > Create,Must-have,Generate a shareable invite with payment / form options.
Manage Learners,How to view a learner's full profile,Manage Learners > [Learner],Must-have,Open the 17-tab learner side view.
Manage Learners,How to expand to the full-screen profile overlay,Manage Learners > [Learner] > Expand,Should-have,Open the 90vw full-screen profile.
Manage Learners,How to edit a learner's details,Manage Learners > [Learner] > Edit Details,Must-have,Update name / contact / address / parent / custom fields.
Manage Learners,How to upload a learner's profile photo,Manage Learners > [Learner] > Edit > Photo,Should-have,Add a photo to the learner profile.
Manage Learners,How to view a learner's course progress,Manage Learners > [Learner] > Progress,Must-have,Track chapter / slide / assessment completion.
Manage Learners,How to view a learner's test history,Manage Learners > [Learner] > Tests,Must-have,See past attempts and scores.
Manage Learners,How to view a learner's payment history,Manage Learners > [Learner] > Payment History,Must-have,See invoices / installments / pending dues.
Manage Learners,How to view a learner's communication history,Manage Learners > [Learner] > Notifications,Should-have,Inspect every message / call to this learner.
Manage Learners,How to view a learner's files,Manage Learners > [Learner] > Files,Should-have,Upload / download / organise the learner's documents.
Manage Learners,How to add tags to a learner,Manage Learners > [Learner] > Tagging,Should-have,Label learners for filtering and segmentation.
Manage Learners,How to grant portal access credentials,Manage Learners > [Learner] > Portal Access,Must-have,Share login credentials so the learner can sign in.
Manage Learners,How to send a password reset to a learner,Manage Learners > [Learner] > Portal Access > Reset,Should-have,Help a learner recover their login.
Manage Learners,How to deroll a learner from a course,Manage Learners > [Learner] > Enroll-Deroll > Cancel,Must-have,End a learner's enrollment.
Manage Learners,How to view a learner's lead profile (CRM view),Manage Learners > [Learner] > Lead Profile,Should-have,See CRM data on a learner who started as a lead.
Manage Learners,How to view the full learner history,Manage Learners > [Learner] > Full History,Should-have,Cross-functional timeline of every event.
Manage Learners,How to assign a counsellor to a learner,Manage Learners > [Learner] > Assign Counsellor,Should-have,Pick who owns this relationship.
Manage Learners,How to initiate a deep-dive learner report,Manage Learners > [Learner] > Reports > Initiate,Should-have,Trigger an AI analysis on one learner.
Manage Learners,How to view a learner's enrollment & deroll history,Manage Learners > [Learner] > Enroll-Deroll,Should-have,Audit course memberships over time.
Manage Learners,How to view a learner's membership status,Manage Learners > [Learner] > Membership,Should-have,Track active subscriptions per learner.
Manage Learners,How to view sub-org affiliation of a learner,Manage Learners > [Learner] > Sub-Org,Nice-to-have,See which sub-org a learner belongs to.
Manage Contacts,How to view all contacts,Manage Contacts > All Contacts,Must-have,See every contact (lead + learner) in one place.
Manage Contacts,How to filter contacts by tier,Manage Contacts > Filters > Tier,Should-have,Show only HOT / WARM / COLD leads.
Manage Contacts,How to filter contacts by source,Manage Contacts > Filters > Source,Should-have,Slice contacts by where they came from.
Manage Contacts,How to bulk import contacts,Manage Contacts > Bulk Import,Must-have,Upload contacts from CSV with mapping.
Manage Contacts,How to add tags to contacts,Manage Contacts > [Contact] > Tags,Should-have,Label contacts for segmentation.
Manage Contacts,How to open the full profile overlay,Manage Contacts > [Row] > Expand,Should-have,Launch the 90vw full-screen profile.
Manage Contacts,How to link a contact to a learner,Manage Contacts > [Contact] > Link Learner,Nice-to-have,Connect a contact record to an enrolled learner.
Payments & Fees,How to create a fee plan,Settings > Fee Management > Create Plan,Must-have,Define course fees with installment structure.
Payments & Fees,How to add installments to a fee plan,Settings > Fee Management > [Plan] > Installments,Must-have,Break fees into payment tranches.
Payments & Fees,How to set late fee rules,Settings > Fee Management > Late Fees,Should-have,Auto-apply late fees on overdue installments.
Payments & Fees,How to create an invoice for a learner,Manage Learners > [Learner] > Payment History > Create Invoice,Must-have,Generate a one-off invoice on demand.
Payments & Fees,How to edit CPO installments per learner,Manage Learners > [Learner] > Payment History > Installments,Should-have,Adjust amounts / due dates for one learner.
Payments & Fees,How to send a payment link to a learner,Manage Learners > [Learner] > Payment History > Send Link,Must-have,One-tap payment link via WhatsApp / email.
Payments & Fees,How to record a manual / cash payment,Manage Payments > Record Payment,Should-have,Log a payment received outside the gateway.
Payments & Fees,How to view payment logs,Manage Payments > Payment Logs,Must-have,Search and filter every transaction.
Payments & Fees,How to handle a refund,Manage Payments > [Payment] > Refund,Should-have,Initiate a refund through the gateway.
Payments & Fees,How to download a payment report,Manage Payments > Reports > Export,Should-have,Get CSV of payments for accounting.
Payments & Fees,How to reconcile payments,Manage Payments > Reconciliation,Nice-to-have,Match platform records to bank statements.
Reports & Dashboards,How to use the main admin dashboard,Dashboard,Must-have,KPIs / quick actions / recent activity at a glance.
Reports & Dashboards,How to view real-time activity,Dashboard > Real-time,Should-have,See who is active right now.
Reports & Dashboards,How to view today's activity,Dashboard > Activity,Should-have,Daily / hourly engagement charts.
Reports & Dashboards,How to view finance summary,Dashboard > Finance Summary,Must-have,Revenue / collections / pending dues.
Reports & Dashboards,How to view assessment dashboards,Assessments > Dashboard,Should-have,Roll-up of attempts / averages / completion.
Reports & Dashboards,How to schedule a recurring report,Reports > Scheduled Reports > Create,Nice-to-have,Auto-email reports on a schedule.
Drip & Notifications,How to create notification templates,Settings > Notification Templates > Create,Should-have,Customize system notification copy.
Drip & Notifications,How to enable or disable notification channels,Settings > Notifications > Channels,Should-have,Pick which channels (email / WhatsApp / SMS / push) deliver alerts.
Drip & Notifications,How to set up announcement broadcasts,Communication > Announcements > Create,Should-have,Broadcast a message to all learners.
